date,product,quantity,unit_price,unit_cost,stock,region,channel
2024-06-28,Gaming Mouse,34,38.23,21.9,88,North,Online
2024-06-28,LED Monitor,13,185.83,109.61,79,South,Retail
2024-06-28,Laptop Stand,24,35.59,20.58,32,North,Online
2024-06-28,Mechanical Keyboard,24,97.96,61.91,90,South,Retail
2024-06-28,Webcam,20,58.89,35.62,40,West,Retail
2024-06-29,Smart Speaker,14,76.56,41.7,68,East,Wholesale
2024-06-29,Wireless Headphones,22,92.65,55.82,123,East,Online
2024-06-29,Office Chair,7,154.64,84.25,25,South,Retail
2024-06-29,Gaming Mouse,28,40.97,22.52,79,East,Retail
2024-06-29,LED Monitor,12,200.16,123.03,53,South,Retail
2024-06-29,Laptop Stand,21,36.09,21.38,107,North,Retail
2024-06-29,Mechanical Keyboard,16,97.99,52.18,94,South,Retail
2024-06-29,Webcam,17,56.84,34.35,66,East,Wholesale
2024-06-30,Smart Speaker,17,74.7,41.39,47,South,Online
2024-06-30,Wireless Headphones,24,92.11,50.5,63,North,Wholesale
2024-06-30,Office Chair,9,150.54,88.23,47,North,Retail
2024-06-30,Gaming Mouse,32,43.26,26.18,99,South,Wholesale
2024-06-30,LED Monitor,13,184.12,115.65,33,East,Online
2024-06-30,Laptop Stand,25,33.98,18.43,15,South,Retail
2024-06-30,Mechanical Keyboard,20,97.76,57.51,19,South,Wholesale
2024-06-30,Webcam,15,57.04,33.87,59,East,Wholesale
2024-07-01,Smart Speaker,15,74.36,44.82,59,West,Online
2024-07-01,Wireless Headphones,20,88.44,51.82,99,North,Wholesale
2024-07-01,Office Chair,13,153.56,88.52,49,West,Retail
2024-07-01,Gaming Mouse,21,39.82,20.31,57,East,Wholesale
2024-07-01,LED Monitor,14,199.37,122.15,72,South,Online
2024-07-01,Laptop Stand,18,37.71,21.98,40,South,Online
2024-07-01,Mechanical Keyboard,14,93.02,52.95,82,East,Wholesale
2024-07-01,Webcam,12,58.8,32.27,58,North,Wholesale
2024-07-02,Smart Speaker,12,76.4,42.93,42,South,Wholesale
2024-07-02,Wireless Headphones,22,90.33,51.88,88,South,Online
2024-07-02,Office Chair,15,153.14,82.04,57,South,Retail
2024-07-02,Gaming Mouse,35,42.56,24.52,103,West,Retail
2024-07-02,LED Monitor,21,198.48,116.07,71,East,Retail
2024-07-02,Laptop Stand,24,35.97,21.2,42,West,Online
2024-07-02,Mechanical Keyboard,13,92.25,52.24,54,South,Retail
2024-07-02,Webcam,20,56.05,33.09,41,East,Retail
2024-07-03,Smart Speaker,19,75.6,43.08,86,North,Retail
2024-07-03,Wireless Headphones,25,97.09,56.96,128,East,Wholesale
2024-07-03,Office Chair,14,154.69,88.93,24,North,Online
2024-07-03,Gaming Mouse,25,42.98,26.33,105,North,Online
2024-07-03,LED Monitor,17,195.86,119.1,7,West,Online
2024-07-03,Laptop Stand,15,34.12,21.19,100,North,Retail
2024-07-03,Mechanical Keyboard,15,86.04,48.5,137,South,Wholesale
2024-07-03,Webcam,15,58.94,31.43,44,West,Retail
2024-07-04,Smart Speaker,18,76.05,44.9,72,East,Online
2024-07-04,Wireless Headphones,28,94.07,51.82,43,West,Wholesale
2024-07-04,Office Chair,11,162.62,92.16,62,West,Wholesale
2024-07-04,Gaming Mouse,30,44.3,25.21,48,North,Wholesale
2024-07-04,LED Monitor,16,187.15,112.13,34,West,Retail
2024-07-04,Laptop Stand,12,35.01,18.53,41,West,Retail
2024-07-04,Mechanical Keyboard,19,95.15,54.73,67,East,Retail
2024-07-04,Webcam,18,59.35,35.11,62,East,Wholesale
2024-07-05,Smart Speaker,23,73.77,42.11,33,North,Wholesale
2024-07-05,Wireless Headphones,17,86.23,49.83,79,East,Retail
2024-07-05,Office Chair,9,159.88,96.28,31,East,Wholesale
2024-07-05,Gaming Mouse,29,42.28,22.69,77,South,Online
2024-07-05,LED Monitor,11,199.32,106.91,69,West,Retail
2024-07-05,Laptop Stand,20,36.46,18.51,28,East,Wholesale
2024-07-05,Mechanical Keyboard,15,98.4,62.97,25,East,Retail
2024-07-05,Webcam,15,61.27,33.29,51,West,Wholesale
2024-07-06,Smart Speaker,11,70.68,40.1,37,West,Wholesale
2024-07-06,Wireless Headphones,22,83.47,49.7,47,East,Online
2024-07-06,Office Chair,9,151.55,90.36,44,North,Online
2024-07-06,Gaming Mouse,17,42.79,23.49,84,West,Wholesale
2024-07-06,LED Monitor,14,192.41,104.19,54,South,Online
2024-07-06,Laptop Stand,17,37.83,21.44,60,West,Retail
2024-07-06,Mechanical Keyboard,16,97.58,55.03,43,East,Wholesale
2024-07-06,Webcam,11,53.1,33.36,95,West,Online
2024-07-07,Smart Speaker,10,73.2,41.83,45,West,Online
2024-07-07,Wireless Headphones,24,90.63,48.5,87,East,Wholesale
2024-07-07,Office Chair,11,153.17,88.19,42,North,Wholesale
2024-07-07,Gaming Mouse,19,39.46,23.08,63,North,Retail
2024-07-07,LED Monitor,13,209.56,114.61,52,East,Online
2024-07-07,Laptop Stand,17,36.22,22.33,51,West,Wholesale
2024-07-07,Mechanical Keyboard,18,92.97,52.97,53,South,Online
2024-07-07,Webcam,10,58.98,33.28,0,North,Retail
2024-07-08,Smart Speaker,18,72.15,39.0,73,North,Online
2024-07-08,Wireless Headphones,33,90.31,53.43,65,East,Retail
2024-07-08,Office Chair,13,161.79,91.31,28,South,Online
2024-07-08,Gaming Mouse,31,44.2,25.03,65,West,Retail
2024-07-08,LED Monitor,14,204.6,104.85,27,South,Online
2024-07-08,Laptop Stand,12,34.79,19.22,58,West,Online
2024-07-08,Mechanical Keyboard,18,92.54,53.52,87,West,Wholesale
2024-07-08,Webcam,13,59.13,33.9,61,North,Online
2024-07-09,Smart Speaker,21,71.32,41.34,50,South,Retail
2024-07-09,Wireless Headphones,17,91.14,51.9,39,East,Online
2024-07-09,Office Chair,15,142.63,76.32,21,South,Online
2024-07-09,Gaming Mouse,30,43.13,23.54,41,West,Wholesale
2024-07-09,LED Monitor,15,201.8,115.91,52,North,Online
2024-07-09,Laptop Stand,26,37.02,19.67,0,South,Online
2024-07-09,Mechanical Keyboard,25,92.57,48.53,65,South,Wholesale
2024-07-09,Webcam,22,59.05,33.59,29,South,Online
2024-07-10,Smart Speaker,17,71.37,45.78,104,North,Retail
2024-07-10,Wireless Headphones,21,91.66,54.92,91,South,Online
2024-07-10,Office Chair,14,159.01,95.26,43,East,Retail
2024-07-10,Gaming Mouse,29,41.18,22.3,157,South,Wholesale
2024-07-10,LED Monitor,19,199.77,123.96,47,West,Online
2024-07-10,Laptop Stand,18,36.5,21.24,27,South,Online
2024-07-10,Mechanical Keyboard,20,102.04,61.92,63,East,Wholesale
2024-07-10,Webcam,16,57.59,31.53,46,East,Online
2024-07-11,Smart Speaker,14,75.32,44.57,9,North,Online
2024-07-11,Wireless Headphones,28,92.3,56.37,73,East,Retail
2024-07-11,Office Chair,9,156.87,92.77,57,West,Retail
2024-07-11,Gaming Mouse,27,40.17,22.91,93,West,Online
2024-07-11,LED Monitor,13,199.75,112.84,31,West,Wholesale
2024-07-11,Laptop Stand,20,36.31,21.36,31,South,Online
2024-07-11,Mechanical Keyboard,25,92.1,47.57,7,East,Wholesale
2024-07-11,Webcam,16,57.76,35.6,0,East,Wholesale
2024-07-12,Smart Speaker,21,71.08,40.42,32,West,Wholesale
2024-07-12,Wireless Headphones,21,93.45,59.35,56,North,Wholesale
2024-07-12,Office Chair,11,164.51,94.96,35,East,Online
2024-07-12,Gaming Mouse,41,43.25,24.17,113,East,Wholesale
2024-07-12,LED Monitor,12,204.3,118.68,47,West,Online
2024-07-12,Laptop Stand,21,36.54,19.07,80,East,Online
2024-07-12,Mechanical Keyboard,13,95.8,55.81,37,South,Online
2024-07-12,Webcam,11,57.17,32.16,43,North,Online
2024-07-13,Smart Speaker,13,75.88,44.15,5,West,Online
2024-07-13,Wireless Headphones,21,88.31,50.95,63,West,Wholesale
2024-07-13,Office Chair,12,148.97,81.16,15,South,Online
2024-07-13,Gaming Mouse,30,41.37,20.89,15,East,Retail
2024-07-13,LED Monitor,11,195.17,113.42,34,North,Wholesale
2024-07-13,Laptop Stand,17,34.91,20.75,16,West,Retail
2024-07-13,Mechanical Keyboard,18,95.5,59.94,37,South,Online
2024-07-13,Webcam,13,55.41,32.25,21,East,Online
2024-07-14,Smart Speaker,17,75.44,42.35,70,North,Wholesale
2024-07-14,Wireless Headphones,27,90.65,56.28,7,South,Online
2024-07-14,Office Chair,9,155.65,87.61,29,South,Retail
2024-07-14,Gaming Mouse,24,42.61,24.42,78,South,Online
2024-07-14,LED Monitor,14,206.08,129.71,46,South,Retail
2024-07-14,Laptop Stand,15,35.89,21.83,83,North,Wholesale
2024-07-14,Mechanical Keyboard,20,97.65,60.15,61,East,Retail
2024-07-14,Webcam,15,52.05,30.79,0,South,Retail
2024-07-15,Smart Speaker,18,75.24,41.02,34,West,Retail
2024-07-15,Wireless Headphones,21,95.99,55.67,82,West,Online
2024-07-15,Office Chair,11,149.56,86.25,33,East,Wholesale
2024-07-15,Gaming Mouse,25,40.91,24.86,81,South,Online
2024-07-15,LED Monitor,14,199.55,119.43,23,South,Wholesale
2024-07-15,Laptop Stand,25,35.48,19.07,76,East,Wholesale
2024-07-15,Mechanical Keyboard,13,96.77,58.26,67,East,Online
2024-07-15,Webcam,11,58.67,33.5,35,North,Online
2024-07-16,Smart Speaker,23,78.65,48.72,52,West,Retail
2024-07-16,Wireless Headphones,27,89.38,52.19,101,North,Retail
2024-07-16,Office Chair,10,152.75,91.5,36,West,Online
2024-07-16,Gaming Mouse,31,41.45,24.98,100,West,Online
2024-07-16,LED Monitor,19,194.53,103.17,23,West,Wholesale
2024-07-16,Laptop Stand,22,35.65,20.32,86,South,Wholesale
2024-07-16,Mechanical Keyboard,21,97.38,58.28,0,West,Wholesale
2024-07-16,Webcam,9,58.07,33.67,72,East,Wholesale
2024-07-17,Smart Speaker,19,72.7,43.22,41,East,Wholesale
2024-07-17,Wireless Headphones,29,87.26,52.72,97,South,Online
2024-07-17,Office Chair,14,158.79,92.58,23,West,Online
2024-07-17,Gaming Mouse,26,42.8,23.6,104,North,Wholesale
2024-07-17,LED Monitor,14,198.76,129.86,16,East,Online
2024-07-17,Laptop Stand,23,36.52,21.31,82,South,Retail
2024-07-17,Mechanical Keyboard,26,94.47,58.0,43,South,Online
2024-07-17,Webcam,13,58.92,36.73,47,East,Wholesale
2024-07-18,Smart Speaker,14,73.41,39.07,30,West,Online
2024-07-18,Wireless Headphones,29,97.75,54.97,118,East,Online
2024-07-18,Office Chair,11,157.35,91.56,37,North,Retail
2024-07-18,Gaming Mouse,20,39.73,23.82,72,East,Retail
2024-07-18,LED Monitor,14,203.51,119.14,30,North,Wholesale
2024-07-18,Laptop Stand,21,37.99,22.6,94,South,Online
2024-07-18,Mechanical Keyboard,23,98.06,58.64,73,West,Retail
2024-07-18,Webcam,17,55.25,30.73,76,South,Online
2024-07-19,Smart Speaker,20,73.3,39.98,43,South,Online
2024-07-19,Wireless Headphones,22,92.53,52.66,76,South,Online
2024-07-19,Office Chair,11,155.02,86.42,29,North,Online
2024-07-19,Gaming Mouse,24,44.6,25.74,67,North,Wholesale
2024-07-19,LED Monitor,11,196.18,109.75,67,South,Retail
2024-07-19,Laptop Stand,24,36.08,20.97,57,East,Wholesale
2024-07-19,Mechanical Keyboard,23,88.21,45.87,40,East,Wholesale
2024-07-19,Webcam,16,58.96,33.52,64,North,Wholesale
2024-07-20,Smart Speaker,16,76.49,44.99,34,North,Retail
2024-07-20,Wireless Headphones,21,89.0,55.55,0,South,Online
2024-07-20,Office Chair,8,153.03,87.59,9,North,Retail
2024-07-20,Gaming Mouse,20,45.61,28.92,58,East,Online
2024-07-20,LED Monitor,10,184.78,106.52,20,South,Wholesale
2024-07-20,Laptop Stand,13,35.04,20.48,66,North,Retail
2024-07-20,Mechanical Keyboard,13,98.87,54.97,67,South,Online
2024-07-20,Webcam,10,57.36,33.9,53,West,Wholesale
2024-07-21,Smart Speaker,20,76.61,43.84,64,South,Online
2024-07-21,Wireless Headphones,28,85.17,47.03,107,West,Online
2024-07-21,Office Chair,7,152.36,90.29,30,East,Wholesale
2024-07-21,Gaming Mouse,21,40.95,22.67,152,South,Online
2024-07-21,LED Monitor,15,194.61,111.79,26,East,Online
2024-07-21,Laptop Stand,14,33.72,17.28,25,North,Wholesale
2024-07-21,Mechanical Keyboard,17,100.34,59.43,72,South,Online
2024-07-21,Webcam,15,59.48,33.47,53,West,Wholesale
2024-07-22,Smart Speaker,15,71.09,38.71,52,West,Retail
2024-07-22,Wireless Headphones,19,89.08,53.19,87,West,Online
2024-07-22,Office Chair,13,149.57,94.31,25,South,Retail
2024-07-22,Gaming Mouse,26,41.39,21.76,72,West,Online
2024-07-22,LED Monitor,16,208.51,115.95,48,South,Retail
2024-07-22,Laptop Stand,18,36.98,21.41,112,South,Online
2024-07-22,Mechanical Keyboard,22,96.33,58.17,44,West,Wholesale
2024-07-22,Webcam,14,56.3,33.77,58,North,Wholesale
2024-07-23,Smart Speaker,22,77.75,44.22,63,West,Retail
2024-07-23,Wireless Headphones,24,87.13,54.77,84,North,Online
2024-07-23,Office Chair,14,143.22,74.41,49,South,Online
2024-07-23,Gaming Mouse,29,40.05,23.2,162,West,Retail
2024-07-23,LED Monitor,15,194.96,110.77,0,North,Retail
2024-07-23,Laptop Stand,25,34.01,19.05,30,West,Retail
2024-07-23,Mechanical Keyboard,20,89.0,53.26,81,North,Retail
2024-07-23,Webcam,8,55.98,34.54,0,North,Retail
2024-07-24,Smart Speaker,14,76.08,42.59,64,East,Online
2024-07-24,Wireless Headphones,32,88.37,52.25,22,South,Wholesale
2024-07-24,Office Chair,10,151.96,88.04,9,North,Online
2024-07-24,Gaming Mouse,33,42.43,22.59,80,East,Online
2024-07-24,LED Monitor,10,190.55,115.53,51,North,Wholesale
2024-07-24,Laptop Stand,29,36.59,21.94,151,West,Retail
2024-07-24,Mechanical Keyboard,17,97.44,57.8,45,South,Wholesale
2024-07-24,Webcam,22,58.66,32.73,69,East,Wholesale
2024-07-25,Smart Speaker,16,75.46,40.84,60,North,Wholesale
2024-07-25,Wireless Headphones,25,87.83,49.61,56,East,Retail
2024-07-25,Office Chair,10,159.97,84.46,48,West,Online
2024-07-25,Gaming Mouse,28,40.34,25.01,128,North,Wholesale
2024-07-25,LED Monitor,10,203.75,120.65,10,East,Online
2024-07-25,Laptop Stand,22,36.7,21.48,72,North,Wholesale
2024-07-25,Mechanical Keyboard,23,86.37,49.27,53,South,Retail
2024-07-25,Webcam,15,60.53,33.13,53,East,Retail
2024-07-26,Smart Speaker,14,77.83,43.87,58,West,Online
2024-07-26,Wireless Headphones,28,90.88,52.21,81,West,Wholesale
2024-07-26,Office Chair,13,153.24,87.94,24,North,Online
2024-07-26,Gaming Mouse,28,42.38,25.41,74,West,Online
2024-07-26,LED Monitor,12,213.45,113.76,63,North,Retail
2024-07-26,Laptop Stand,16,38.81,23.67,85,West,Retail
2024-07-26,Mechanical Keyboard,17,95.3,56.39,88,North,Retail
2024-07-26,Webcam,11,59.67,36.26,56,West,Online
2024-07-27,Smart Speaker,14,71.59,39.66,10,East,Retail
2024-07-27,Wireless Headphones,20,87.63,43.06,25,East,Retail
2024-07-27,Office Chair,8,156.96,84.49,51,East,Retail
2024-07-27,Gaming Mouse,24,45.42,28.41,61,South,Retail
2024-07-27,LED Monitor,11,201.53,116.25,31,West,Retail
2024-07-27,Laptop Stand,18,38.9,22.67,102,South,Retail
2024-07-27,Mechanical Keyboard,19,93.57,51.87,61,East,Wholesale
2024-07-27,Webcam,13,55.39,29.87,13,East,Wholesale
2024-07-28,Smart Speaker,15,76.91,44.58,0,North,Wholesale
2024-07-28,Wireless Headphones,20,95.53,51.23,50,South,Online
2024-07-28,Office Chair,11,158.06,92.22,35,North,Wholesale
2024-07-28,Gaming Mouse,20,43.29,23.33,83,South,Online
2024-07-28,LED Monitor,11,197.84,111.05,19,North,Online
2024-07-28,Laptop Stand,15,36.41,19.86,75,North,Retail
2024-07-28,Mechanical Keyboard,15,93.9,58.19,59,North,Retail
2024-07-28,Webcam,15,53.72,31.09,79,North,Online
2024-07-29,Smart Speaker,16,75.42,45.77,3,West,Online
2024-07-29,Wireless Headphones,22,86.77,53.74,56,North,Wholesale
2024-07-29,Office Chair,8,140.08,80.26,30,East,Wholesale
2024-07-29,Gaming Mouse,30,43.76,25.16,0,South,Retail
2024-07-29,LED Monitor,15,200.14,121.97,18,West,Online
2024-07-29,Laptop Stand,16,36.94,19.56,34,East,Wholesale
2024-07-29,Mechanical Keyboard,17,98.82,58.02,52,West,Retail
2024-07-29,Webcam,14,54.39,30.24,55,North,Online
2024-07-30,Smart Speaker,12,72.12,40.57,43,North,Wholesale
2024-07-30,Wireless Headphones,20,86.73,52.31,97,West,Online
2024-07-30,Office Chair,10,155.76,86.53,16,South,Online
2024-07-30,Gaming Mouse,24,40.29,23.56,110,West,Retail
2024-07-30,LED Monitor,14,196.48,115.97,43,East,Wholesale
2024-07-30,Laptop Stand,16,36.04,22.02,0,West,Online
2024-07-30,Mechanical Keyboard,23,95.49,56.96,39,North,Retail
2024-07-30,Webcam,11,53.24,32.38,25,East,Retail
2024-07-31,Smart Speaker,13,70.35,40.44,35,North,Wholesale
2024-07-31,Wireless Headphones,25,90.0,52.84,124,West,Wholesale
2024-07-31,Office Chair,11,161.14,99.57,12,North,Online
2024-07-31,Gaming Mouse,34,42.75,25.05,75,East,Wholesale
2024-07-31,LED Monitor,15,196.25,113.57,46,North,Wholesale
2024-07-31,Laptop Stand,23,39.67,20.89,75,South,Online
2024-07-31,Mechanical Keyboard,21,96.16,57.97,92,South,Wholesale
2024-07-31,Webcam,19,53.24,33.42,56,West,Wholesale
2024-08-01,Smart Speaker,13,71.85,41.99,50,North,Wholesale
2024-08-01,Wireless Headphones,27,83.5,50.87,68,North,Retail
2024-08-01,Office Chair,8,157.73,80.06,44,West,Online
2024-08-01,Gaming Mouse,26,41.82,25.72,73,West,Wholesale
2024-08-01,LED Monitor,12,206.82,123.28,34,South,Retail
2024-08-01,Laptop Stand,14,36.49,19.24,84,West,Wholesale
2024-08-01,Mechanical Keyboard,27,92.3,53.25,104,North,Wholesale
2024-08-01,Webcam,13,58.45,33.9,51,East,Wholesale
2024-08-02,Smart Speaker,15,69.86,40.8,57,North,Wholesale
2024-08-02,Wireless Headphones,14,92.08,54.41,41,West,Online
2024-08-02,Office Chair,7,149.44,84.26,49,South,Online
2024-08-02,Gaming Mouse,27,41.21,24.21,68,South,Wholesale
2024-08-02,LED Monitor,11,187.1,100.76,29,South,Online
2024-08-02,Laptop Stand,20,35.41,23.06,10,South,Online
2024-08-02,Mechanical Keyboard,13,94.34,55.12,0,West,Retail
2024-08-02,Webcam,18,57.08,33.55,62,North,Wholesale
2024-08-03,Smart Speaker,13,68.11,40.81,42,South,Wholesale
2024-08-03,Wireless Headphones,20,87.18,49.18,76,South,Online
2024-08-03,Office Chair,12,147.42,82.57,56,North,Online
2024-08-03,Gaming Mouse,23,40.62,22.91,72,North,Retail
2024-08-03,LED Monitor,12,197.79,113.45,12,South,Retail
2024-08-03,Laptop Stand,21,34.28,19.69,33,West,Online
2024-08-03,Mechanical Keyboard,15,100.96,60.09,19,West,Wholesale
2024-08-03,Webcam,11,56.83,33.5,30,West,Online
2024-08-04,Smart Speaker,13,72.4,40.57,33,North,Online
2024-08-04,Wireless Headphones,22,94.33,61.13,31,West,Online
2024-08-04,Office Chair,7,150.78,84.6,15,West,Retail
2024-08-04,Gaming Mouse,22,40.21,24.34,40,West,Wholesale
2024-08-04,LED Monitor,11,198.5,107.42,68,North,Retail
2024-08-04,Laptop Stand,19,34.3,20.11,26,West,Wholesale
2024-08-04,Mechanical Keyboard,19,96.32,48.83,27,South,Retail
2024-08-04,Webcam,16,60.25,32.07,46,South,Online
2024-08-05,Smart Speaker,11,73.98,43.52,41,East,Wholesale
2024-08-05,Wireless Headphones,20,87.98,50.64,47,West,Online
2024-08-05,Office Chair,10,157.4,89.85,26,South,Wholesale
2024-08-05,Gaming Mouse,16,42.7,24.77,77,South,Wholesale
2024-08-05,LED Monitor,8,184.32,108.42,40,East,Online
2024-08-05,Laptop Stand,18,36.84,22.4,73,South,Retail
2024-08-05,Mechanical Keyboard,11,98.58,60.79,70,East,Wholesale
2024-08-05,Webcam,16,59.75,37.45,25,West,Wholesale
2024-08-06,Smart Speaker,19,74.15,40.52,62,North,Retail
2024-08-06,Wireless Headphones,23,89.68,51.32,117,West,Retail
2024-08-06,Office Chair,10,155.06,94.02,10,West,Retail
2024-08-06,Gaming Mouse,17,42.05,22.98,66,West,Online
2024-08-06,LED Monitor,12,199.6,113.98,56,North,Online
2024-08-06,Laptop Stand,18,35.79,21.88,75,East,Retail
2024-08-06,Mechanical Keyboard,21,92.36,57.48,85,East,Wholesale
2024-08-06,Webcam,15,57.58,34.57,38,East,Online
2024-08-07,Smart Speaker,20,72.54,40.73,23,West,Wholesale
2024-08-07,Wireless Headphones,15,91.27,57.89,117,East,Online
2024-08-07,Office Chair,13,162.71,92.14,36,South,Retail
2024-08-07,Gaming Mouse,28,40.44,23.7,22,North,Wholesale
2024-08-07,LED Monitor,17,192.57,105.12,0,North,Online
2024-08-07,Laptop Stand,19,34.05,20.21,50,North,Wholesale
2024-08-07,Mechanical Keyboard,17,99.6,59.57,55,South,Wholesale
2024-08-07,Webcam,12,58.07,33.94,36,North,Wholesale
2024-08-08,Smart Speaker,14,75.32,44.93,0,North,Retail
2024-08-08,Wireless Headphones,10,87.08,53.19,57,East,Wholesale
2024-08-08,Office Chair,8,160.57,83.87,51,East,Retail
2024-08-08,Gaming Mouse,20,41.14,22.61,109,West,Online
2024-08-08,LED Monitor,9,195.2,108.16,67,North,Online
2024-08-08,Laptop Stand,26,35.96,19.6,42,East,Retail
2024-08-08,Mechanical Keyboard,14,96.32,52.32,0,East,Online
2024-08-08,Webcam,10,56.47,31.21,26,South,Retail
2024-08-09,Smart Speaker,15,74.64,39.31,32,East,Retail
2024-08-09,Wireless Headphones,16,91.83,49.95,53,North,Online
2024-08-09,Office Chair,10,151.53,86.66,27,North,Wholesale
2024-08-09,Gaming Mouse,26,42.35,24.45,57,East,Retail
2024-08-09,LED Monitor,12,195.87,114.22,69,South,Retail
2024-08-09,Laptop Stand,21,33.61,19.71,98,South,Retail
2024-08-09,Mechanical Keyboard,17,94.12,54.68,45,North,Retail
2024-08-09,Webcam,13,58.4,32.53,25,East,Online
2024-08-10,Smart Speaker,15,75.41,44.26,63,North,Wholesale
2024-08-10,Wireless Headphones,20,89.95,51.92,44,West,Wholesale
2024-08-10,Office Chair,8,151.39,89.78,32,West,Retail
2024-08-10,Gaming Mouse,27,41.86,22.88,106,East,Online
2024-08-10,LED Monitor,9,210.32,126.14,36,East,Wholesale
2024-08-10,Laptop Stand,18,35.96,20.14,68,North,Wholesale
2024-08-10,Mechanical Keyboard,16,93.35,54.51,47,East,Wholesale
2024-08-10,Webcam,9,59.15,29.69,42,South,Retail
2024-08-11,Smart Speaker,18,72.72,43.62,36,South,Retail
2024-08-11,Wireless Headphones,22,87.56,53.4,31,South,Online
2024-08-11,Office Chair,11,158.58,101.09,19,East,Retail
2024-08-11,Gaming Mouse,18,42.97,25.56,72,South,Retail
2024-08-11,LED Monitor,14,189.51,116.5,86,East,Wholesale
2024-08-11,Laptop Stand,18,36.73,20.76,8,North,Wholesale
2024-08-11,Mechanical Keyboard,13,91.14,57.57,55,North,Retail
2024-08-11,Webcam,12,57.65,35.11,39,North,Wholesale
2024-08-12,Smart Speaker,15,73.11,39.32,3,South,Online
2024-08-12,Wireless Headphones,21,84.99,49.21,65,West,Retail
2024-08-12,Office Chair,8,157.21,93.01,14,South,Wholesale
2024-08-12,Gaming Mouse,29,43.14,24.9,58,West,Online
