date,product,demand_units,unit_price,unit_cost,stock_on_hand,region,channel,revenue,total_cost,profit,month_start,year,month,month_name,day_of_week,week_of_year
2024-06-28,Mechanical Keyboard,24,97.96,61.91,90,South,Retail,2351.04,1485.84,865.2,2024-06-01,2024,6,Jun,Friday,26
2024-06-28,Laptop Stand,24,35.59,20.58,32,North,Online,854.1600000000001,493.91999999999996,360.2400000000001,2024-06-01,2024,6,Jun,Friday,26
2024-06-28,LED Monitor,13,185.83,109.61,79,South,Retail,2415.79,1424.93,990.8599999999999,2024-06-01,2024,6,Jun,Friday,26
2024-06-28,Wireless Headphones,27,90.42,49.43,54,East,Wholesale,2441.34,1334.61,1106.7300000000002,2024-06-01,2024,6,Jun,Friday,26
2024-06-28,Office Chair,11,153.41,88.5,30,South,Retail,1687.51,973.5,714.01,2024-06-01,2024,6,Jun,Friday,26
2024-06-28,Smart Speaker,14,77.09,45.32,64,East,Online,1079.26,634.48,444.78,2024-06-01,2024,6,Jun,Friday,26
2024-06-28,Gaming Mouse,34,38.23,21.9,88,North,Online,1299.82,744.5999999999999,555.22,2024-06-01,2024,6,Jun,Friday,26
2024-06-29,LED Monitor,12,200.16,123.03,53,South,Retail,2401.92,1476.3600000000001,925.56,2024-06-01,2024,6,Jun,Saturday,26
2024-06-29,Mechanical Keyboard,16,97.99,52.18,94,South,Retail,1567.84,834.88,732.9599999999999,2024-06-01,2024,6,Jun,Saturday,26
2024-06-29,Laptop Stand,21,36.09,21.38,107,North,Retail,757.8900000000001,448.97999999999996,308.91000000000014,2024-06-01,2024,6,Jun,Saturday,26
2024-06-29,Webcam,17,56.84,34.35,66,East,Wholesale,966.2800000000001,583.95,382.33000000000004,2024-06-01,2024,6,Jun,Saturday,26
2024-06-29,Gaming Mouse,28,40.97,22.52,79,East,Retail,1147.1599999999999,630.56,516.5999999999999,2024-06-01,2024,6,Jun,Saturday,26
2024-06-29,Wireless Headphones,22,92.65,55.82,123,East,Online,2038.3000000000002,1228.04,810.2600000000002,2024-06-01,2024,6,Jun,Saturday,26
2024-06-29,Smart Speaker,14,76.56,41.7,68,East,Wholesale,1071.8400000000001,583.8000000000001,488.0400000000001,2024-06-01,2024,6,Jun,Saturday,26
2024-06-29,Office Chair,7,154.64,84.25,25,South,Retail,1082.48,589.75,492.73,2024-06-01,2024,6,Jun,Saturday,26
2024-06-30,Smart Speaker,17,74.7,41.39,47,South,Online,1269.9,703.63,566.2700000000001,2024-06-01,2024,6,Jun,Sunday,26
2024-06-30,Wireless Headphones,24,92.11,50.5,63,North,Wholesale,2210.64,1212.0,998.6399999999999,2024-06-01,2024,6,Jun,Sunday,26
2024-06-30,Office Chair,9,150.54,88.23,47,North,Retail,1354.86,794.07,560.7899999999998,2024-06-01,2024,6,Jun,Sunday,26
2024-06-30,Gaming Mouse,32,43.26,26.18,99,South,Wholesale,1384.32,837.76,546.56,2024-06-01,2024,6,Jun,Sunday,26
2024-06-30,LED Monitor,13,184.12,115.65,33,East,Online,2393.56,1503.45,890.1099999999999,2024-06-01,2024,6,Jun,Sunday,26
2024-06-30,Laptop Stand,25,33.98,18.43,15,South,Retail,849.4999999999999,460.75,388.7499999999999,2024-06-01,2024,6,Jun,Sunday,26
2024-06-30,Mechanical Keyboard,20,97.76,57.51,19,South,Wholesale,1955.2,1150.2,805.0,2024-06-01,2024,6,Jun,Sunday,26
2024-06-30,Webcam,15,57.04,33.87,59,East,Wholesale,855.6,508.04999999999995,347.55000000000007,2024-06-01,2024,6,Jun,Sunday,26
2024-07-01,Webcam,12,58.8,32.27,58,North,Wholesale,705.5999999999999,387.24,318.3599999999999,2024-07-01,2024,7,Jul,Monday,27
2024-07-01,Mechanical Keyboard,14,93.02,52.95,82,East,Wholesale,1302.28,741.3000000000001,560.9799999999999,2024-07-01,2024,7,Jul,Monday,27
2024-07-01,Laptop Stand,18,37.71,21.98,40,South,Online,678.78,395.64,283.14,2024-07-01,2024,7,Jul,Monday,27
2024-07-01,LED Monitor,14,199.37,122.15,72,South,Online,2791.1800000000003,1710.1000000000001,1081.0800000000002,2024-07-01,2024,7,Jul,Monday,27
2024-07-01,Smart Speaker,15,74.36,44.82,59,West,Online,1115.4,672.3,443.10000000000014,2024-07-01,2024,7,Jul,Monday,27
2024-07-01,Office Chair,13,153.56,88.52,49,West,Retail,1996.28,1150.76,845.52,2024-07-01,2024,7,Jul,Monday,27
2024-07-01,Wireless Headphones,20,88.44,51.82,99,North,Wholesale,1768.8,1036.4,732.3999999999999,2024-07-01,2024,7,Jul,Monday,27
2024-07-01,Gaming Mouse,21,39.82,20.31,57,East,Wholesale,836.22,426.51,409.71000000000004,2024-07-01,2024,7,Jul,Monday,27
2024-07-02,Laptop Stand,24,35.97,21.2,42,West,Online,863.28,508.79999999999995,354.48,2024-07-01,2024,7,Jul,Tuesday,27
2024-07-02,Webcam,20,56.05,33.09,41,East,Retail,1121.0,661.8000000000001,459.19999999999993,2024-07-01,2024,7,Jul,Tuesday,27
2024-07-02,Mechanical Keyboard,13,92.25,52.24,54,South,Retail,1199.25,679.12,520.13,2024-07-01,2024,7,Jul,Tuesday,27
2024-07-02,LED Monitor,21,198.48,116.07,71,East,Retail,4168.08,2437.47,1730.6100000000001,2024-07-01,2024,7,Jul,Tuesday,27
2024-07-02,Wireless Headphones,22,90.33,51.88,88,South,Online,1987.26,1141.3600000000001,845.8999999999999,2024-07-01,2024,7,Jul,Tuesday,27
2024-07-02,Office Chair,15,153.14,82.04,57,South,Retail,2297.1,1230.6000000000001,1066.4999999999998,2024-07-01,2024,7,Jul,Tuesday,27
2024-07-02,Gaming Mouse,35,42.56,24.52,103,West,Retail,1489.6000000000001,858.1999999999999,631.4000000000002,2024-07-01,2024,7,Jul,Tuesday,27
2024-07-02,Smart Speaker,12,76.4,42.93,42,South,Wholesale,916.8000000000001,515.16,401.6400000000001,2024-07-01,2024,7,Jul,Tuesday,27
2024-07-03,Mechanical Keyboard,15,86.04,48.5,137,South,Wholesale,1290.6000000000001,727.5,563.1000000000001,2024-07-01,2024,7,Jul,Wednesday,27
2024-07-03,Laptop Stand,15,34.12,21.19,100,North,Retail,511.79999999999995,317.85,193.94999999999993,2024-07-01,2024,7,Jul,Wednesday,27
2024-07-03,LED Monitor,17,195.86,119.1,7,West,Online,3329.6200000000003,2024.6999999999998,1304.9200000000005,2024-07-01,2024,7,Jul,Wednesday,27
2024-07-03,Webcam,15,58.94,31.43,44,West,Retail,884.0999999999999,471.45,412.6499999999999,2024-07-01,2024,7,Jul,Wednesday,27
2024-07-03,Office Chair,14,154.69,88.93,24,North,Online,2165.66,1245.02,920.6399999999999,2024-07-01,2024,7,Jul,Wednesday,27
2024-07-03,Wireless Headphones,25,97.09,56.96,128,East,Wholesale,2427.25,1424.0,1003.25,2024-07-01,2024,7,Jul,Wednesday,27
2024-07-03,Smart Speaker,19,75.6,43.08,86,North,Retail,1436.3999999999999,818.52,617.8799999999999,2024-07-01,2024,7,Jul,Wednesday,27
2024-07-03,Gaming Mouse,25,42.98,26.33,105,North,Online,1074.5,658.25,416.25,2024-07-01,2024,7,Jul,Wednesday,27
2024-07-04,Smart Speaker,18,76.05,44.9,72,East,Online,1368.8999999999999,808.1999999999999,560.6999999999999,2024-07-01,2024,7,Jul,Thursday,27
2024-07-04,Wireless Headphones,28,94.07,51.82,43,West,Wholesale,2633.96,1450.96,1183.0,2024-07-01,2024,7,Jul,Thursday,27
2024-07-04,Office Chair,11,162.62,92.16,62,West,Wholesale,1788.8200000000002,1013.76,775.0600000000002,2024-07-01,2024,7,Jul,Thursday,27
2024-07-04,Gaming Mouse,30,44.3,25.21,48,North,Wholesale,1329.0,756.3000000000001,572.6999999999999,2024-07-01,2024,7,Jul,Thursday,27
2024-07-04,LED Monitor,16,187.15,112.13,34,West,Retail,2994.4,1794.08,1200.3200000000002,2024-07-01,2024,7,Jul,Thursday,27
2024-07-04,Laptop Stand,12,35.01,18.53,41,West,Retail,420.12,222.36,197.76,2024-07-01,2024,7,Jul,Thursday,27
2024-07-04,Mechanical Keyboard,19,95.15,54.73,67,East,Retail,1807.8500000000001,1039.87,767.9800000000002,2024-07-01,2024,7,Jul,Thursday,27
2024-07-04,Webcam,18,59.35,35.11,62,East,Wholesale,1068.3,631.98,436.31999999999994,2024-07-01,2024,7,Jul,Thursday,27
2024-07-05,Mechanical Keyboard,15,98.4,62.97,25,East,Retail,1476.0,944.55,531.45,2024-07-01,2024,7,Jul,Friday,27
2024-07-05,Webcam,15,61.27,33.29,51,West,Wholesale,919.0500000000001,499.34999999999997,419.7000000000001,2024-07-01,2024,7,Jul,Friday,27
2024-07-05,Laptop Stand,20,36.46,18.51,28,East,Wholesale,729.2,370.20000000000005,359.0,2024-07-01,2024,7,Jul,Friday,27
2024-07-05,LED Monitor,11,199.32,106.91,69,West,Retail,2192.52,1176.01,1016.51,2024-07-01,2024,7,Jul,Friday,27
2024-07-05,Office Chair,9,159.88,96.28,31,East,Wholesale,1438.92,866.52,572.4000000000001,2024-07-01,2024,7,Jul,Friday,27
2024-07-05,Wireless Headphones,17,86.23,49.83,79,East,Retail,1465.91,847.11,618.8000000000001,2024-07-01,2024,7,Jul,Friday,27
2024-07-05,Smart Speaker,23,73.77,42.11,33,North,Wholesale,1696.7099999999998,968.53,728.1799999999998,2024-07-01,2024,7,Jul,Friday,27
2024-07-05,Gaming Mouse,29,42.28,22.69,77,South,Online,1226.1200000000001,658.01,568.1100000000001,2024-07-01,2024,7,Jul,Friday,27
2024-07-06,Webcam,11,53.1,33.36,95,West,Online,584.1,366.96,217.14000000000004,2024-07-01,2024,7,Jul,Saturday,27
2024-07-06,Laptop Stand,17,37.83,21.44,60,West,Retail,643.11,364.48,278.63,2024-07-01,2024,7,Jul,Saturday,27
2024-07-06,LED Monitor,14,192.41,104.19,54,South,Online,2693.74,1458.6599999999999,1235.08,2024-07-01,2024,7,Jul,Saturday,27
2024-07-06,Mechanical Keyboard,16,97.58,55.03,43,East,Wholesale,1561.28,880.48,680.8,2024-07-01,2024,7,Jul,Saturday,27
2024-07-06,Office Chair,9,151.55,90.36,44,North,Online,1363.95,813.24,550.71,2024-07-01,2024,7,Jul,Saturday,27
2024-07-06,Wireless Headphones,22,83.47,49.7,47,East,Online,1836.34,1093.4,742.9399999999998,2024-07-01,2024,7,Jul,Saturday,27
2024-07-06,Smart Speaker,11,70.68,40.1,37,West,Wholesale,777.48,441.1,336.38,2024-07-01,2024,7,Jul,Saturday,27
2024-07-06,Gaming Mouse,17,42.79,23.49,84,West,Wholesale,727.43,399.33,328.09999999999997,2024-07-01,2024,7,Jul,Saturday,27
2024-07-07,Webcam,10,58.98,33.28,0,North,Retail,589.8,332.8,256.99999999999994,2024-07-01,2024,7,Jul,Sunday,27
2024-07-07,Smart Speaker,10,73.2,41.83,45,West,Online,732.0,418.29999999999995,313.70000000000005,2024-07-01,2024,7,Jul,Sunday,27
2024-07-07,Wireless Headphones,24,90.63,48.5,87,East,Wholesale,2175.12,1164.0,1011.1199999999999,2024-07-01,2024,7,Jul,Sunday,27
2024-07-07,Office Chair,11,153.17,88.19,42,North,Wholesale,1684.87,970.0899999999999,714.78,2024-07-01,2024,7,Jul,Sunday,27
2024-07-07,Gaming Mouse,19,39.46,23.08,63,North,Retail,749.74,438.52,311.22,2024-07-01,2024,7,Jul,Sunday,27
2024-07-07,LED Monitor,13,209.56,114.61,52,East,Online,2724.28,1489.93,1234.3500000000001,2024-07-01,2024,7,Jul,Sunday,27
2024-07-07,Laptop Stand,17,36.22,22.33,51,West,Wholesale,615.74,379.60999999999996,236.13000000000005,2024-07-01,2024,7,Jul,Sunday,27
2024-07-07,Mechanical Keyboard,18,92.97,52.97,53,South,Online,1673.46,953.46,720.0,2024-07-01,2024,7,Jul,Sunday,27
2024-07-08,Mechanical Keyboard,18,92.54,53.52,87,West,Wholesale,1665.72,963.36,702.36,2024-07-01,2024,7,Jul,Monday,28
2024-07-08,Laptop Stand,12,34.79,19.22,58,West,Online,417.48,230.64,186.84000000000003,2024-07-01,2024,7,Jul,Monday,28
2024-07-08,Webcam,13,59.13,33.9,61,North,Online,768.69,440.7,327.99000000000007,2024-07-01,2024,7,Jul,Monday,28
2024-07-08,LED Monitor,14,204.6,104.85,27,South,Online,2864.4,1467.8999999999999,1396.5000000000002,2024-07-01,2024,7,Jul,Monday,28
2024-07-08,Smart Speaker,18,72.15,39.0,73,North,Online,1298.7,702.0,596.7,2024-07-01,2024,7,Jul,Monday,28
2024-07-08,Office Chair,13,161.79,91.31,28,South,Online,2103.27,1187.03,916.24,2024-07-01,2024,7,Jul,Monday,28
2024-07-08,Wireless Headphones,33,90.31,53.43,65,East,Retail,2980.23,1763.19,1217.04,2024-07-01,2024,7,Jul,Monday,28
2024-07-08,Gaming Mouse,31,44.2,25.03,65,West,Retail,1370.2,775.9300000000001,594.27,2024-07-01,2024,7,Jul,Monday,28
2024-07-09,Smart Speaker,21,71.32,41.34,50,South,Retail,1497.7199999999998,868.1400000000001,629.5799999999997,2024-07-01,2024,7,Jul,Tuesday,28
2024-07-09,Wireless Headphones,17,91.14,51.9,39,East,Online,1549.38,882.3,667.0800000000002,2024-07-01,2024,7,Jul,Tuesday,28
2024-07-09,Office Chair,15,142.63,76.32,21,South,Online,2139.45,1144.8,994.6499999999999,2024-07-01,2024,7,Jul,Tuesday,28
2024-07-09,Gaming Mouse,30,43.13,23.54,41,West,Wholesale,1293.9,706.1999999999999,587.7000000000002,2024-07-01,2024,7,Jul,Tuesday,28
2024-07-09,LED Monitor,15,201.8,115.91,52,North,Online,3027.0,1738.6499999999999,1288.3500000000001,2024-07-01,2024,7,Jul,Tuesday,28
2024-07-09,Laptop Stand,26,37.02,19.67,0,South,Online,962.5200000000001,511.4200000000001,451.1,2024-07-01,2024,7,Jul,Tuesday,28
2024-07-09,Mechanical Keyboard,25,92.57,48.53,65,South,Wholesale,2314.25,1213.25,1101.0,2024-07-01,2024,7,Jul,Tuesday,28
2024-07-09,Webcam,22,59.05,33.59,29,South,Online,1299.1,738.98,560.1199999999999,2024-07-01,2024,7,Jul,Tuesday,28
2024-07-10,Webcam,16,57.59,31.53,46,East,Online,921.44,504.48,416.96000000000004,2024-07-01,2024,7,Jul,Wednesday,28
2024-07-10,Mechanical Keyboard,20,102.04,61.92,63,East,Wholesale,2040.8000000000002,1238.4,802.4000000000001,2024-07-01,2024,7,Jul,Wednesday,28
2024-07-10,Laptop Stand,18,36.5,21.24,27,South,Online,657.0,382.32,274.68,2024-07-01,2024,7,Jul,Wednesday,28
2024-07-10,LED Monitor,19,199.77,123.96,47,West,Online,3795.63,2355.24,1440.3900000000003,2024-07-01,2024,7,Jul,Wednesday,28
2024-07-10,Smart Speaker,17,71.37,45.78,104,North,Retail,1213.29,778.26,435.03,2024-07-01,2024,7,Jul,Wednesday,28
2024-07-10,Office Chair,14,159.01,95.26,43,East,Retail,2226.14,1333.64,892.4999999999998,2024-07-01,2024,7,Jul,Wednesday,28
2024-07-10,Wireless Headphones,21,91.66,54.92,91,South,Online,1924.86,1153.32,771.54,2024-07-01,2024,7,Jul,Wednesday,28
2024-07-10,Gaming Mouse,29,41.18,22.3,157,South,Wholesale,1194.22,646.7,547.52,2024-07-01,2024,7,Jul,Wednesday,28
2024-07-11,Laptop Stand,20,36.31,21.36,31,South,Online,726.2,427.2,299.00000000000006,2024-07-01,2024,7,Jul,Thursday,28
2024-07-11,Webcam,16,57.76,35.6,0,East,Wholesale,924.16,569.6,354.55999999999995,2024-07-01,2024,7,Jul,Thursday,28
2024-07-11,Mechanical Keyboard,25,92.1,47.57,7,East,Wholesale,2302.5,1189.25,1113.25,2024-07-01,2024,7,Jul,Thursday,28
2024-07-11,LED Monitor,13,199.75,112.84,31,West,Wholesale,2596.75,1466.92,1129.83,2024-07-01,2024,7,Jul,Thursday,28
2024-07-11,Smart Speaker,14,75.32,44.57,9,North,Online,1054.48,623.98,430.5,2024-07-01,2024,7,Jul,Thursday,28
2024-07-11,Office Chair,9,156.87,92.77,57,West,Retail,1411.83,834.93,576.9,2024-07-01,2024,7,Jul,Thursday,28
2024-07-11,Wireless Headphones,28,92.3,56.37,73,East,Retail,2584.4,1578.36,1006.0400000000002,2024-07-01,2024,7,Jul,Thursday,28
2024-07-11,Gaming Mouse,27,40.17,22.91,93,West,Online,1084.5900000000001,618.57,466.0200000000001,2024-07-01,2024,7,Jul,Thursday,28
2024-07-12,Smart Speaker,21,71.08,40.42,32,West,Wholesale,1492.68,848.82,643.86,2024-07-01,2024,7,Jul,Friday,28
2024-07-12,Wireless Headphones,21,93.45,59.35,56,North,Wholesale,1962.45,1246.3500000000001,716.0999999999999,2024-07-01,2024,7,Jul,Friday,28
2024-07-12,Office Chair,11,164.51,94.96,35,East,Online,1809.61,1044.56,765.05,2024-07-01,2024,7,Jul,Friday,28
2024-07-12,Gaming Mouse,41,43.25,24.17,113,East,Wholesale,1773.25,990.97,782.28,2024-07-01,2024,7,Jul,Friday,28
2024-07-12,LED Monitor,12,204.3,118.68,47,West,Online,2451.6000000000004,1424.16,1027.4400000000003,2024-07-01,2024,7,Jul,Friday,28
2024-07-12,Laptop Stand,21,36.54,19.07,80,East,Online,767.34,400.47,366.87,2024-07-01,2024,7,Jul,Friday,28
2024-07-12,Mechanical Keyboard,13,95.8,55.81,37,South,Online,1245.3999999999999,725.53,519.8699999999999,2024-07-01,2024,7,Jul,Friday,28
2024-07-12,Webcam,11,57.17,32.16,43,North,Online,628.87,353.76,275.11,2024-07-01,2024,7,Jul,Friday,28
2024-07-13,Laptop Stand,17,34.91,20.75,16,West,Retail,593.4699999999999,352.75,240.7199999999999,2024-07-01,2024,7,Jul,Saturday,28
2024-07-13,Webcam,13,55.41,32.25,21,East,Online,720.3299999999999,419.25,301.0799999999999,2024-07-01,2024,7,Jul,Saturday,28
2024-07-13,Mechanical Keyboard,18,95.5,59.94,37,South,Online,1719.0,1078.92,640.0799999999999,2024-07-01,2024,7,Jul,Saturday,28
2024-07-13,LED Monitor,11,195.17,113.42,34,North,Wholesale,2146.87,1247.6200000000001,899.2499999999998,2024-07-01,2024,7,Jul,Saturday,28
2024-07-13,Wireless Headphones,21,88.31,50.95,63,West,Wholesale,1854.51,1069.95,784.56,2024-07-01,2024,7,Jul,Saturday,28
2024-07-13,Office Chair,12,148.97,81.16,15,South,Online,1787.6399999999999,973.92,813.7199999999999,2024-07-01,2024,7,Jul,Saturday,28
2024-07-13,Smart Speaker,13,75.88,44.15,5,West,Online,986.4399999999999,573.9499999999999,412.49,2024-07-01,2024,7,Jul,Saturday,28
2024-07-13,Gaming Mouse,30,41.37,20.89,15,East,Retail,1241.1,626.7,614.3999999999999,2024-07-01,2024,7,Jul,Saturday,28
2024-07-14,Smart Speaker,17,75.44,42.35,70,North,Wholesale,1282.48,719.95,562.53,2024-07-01,2024,7,Jul,Sunday,28
2024-07-14,Wireless Headphones,27,90.65,56.28,7,South,Online,2447.55,1519.56,927.9900000000002,2024-07-01,2024,7,Jul,Sunday,28
2024-07-14,Office Chair,9,155.65,87.61,29,South,Retail,1400.8500000000001,788.49,612.3600000000001,2024-07-01,2024,7,Jul,Sunday,28
